id;cod_aero_org;Cidade;UF;País;qtd
271;SBOI;OIAPOQUE;AP;BRASIL;2
272;SWGP;PALMEIRAS_DE_GOIAS;GO;BRASIL;2
282;SBGU;GUARAPUAVA;PR;BRASIL;1
287;SNGI;GUANAMBI;BA;BRASIL;1
290;SWJP;JAPURA;AM;BRASIL;1
297;SBMN;MANAUS;AM;BRASIL;1
298;SBMS;MOSSORO;RN;BRASIL;1
299;SBGP;GAVIAO_PEIXOTO;SP;BRASIL;1
301;SWEE;ATALAIA_DO_NORTE;AM;BRASIL;1
303;SSPB;PATO_BRANCO;PR;BRASIL;1
313;SSUM;UMUARAMA;PR;BRASIL;1
